model,phase_strategy,threshold,bias,lr,initial_weights,neuron_outputs,circuit_size
HSGS,original,0.3,False,0.02,0.4384092314408935,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6]"
HSGS,original,0.3,True,0.02,0.4384092314408935,"[0.0, 0.2469482421875, 1.0, 0.24755859375, 0.0, 0.247802734375, 1.0, 0.243408203125, 0.0, 0.2535400390625, 1.0, 0.24560546875, 0.0, 0.2479248046875, 1.0, 0.2513427734375, 0.0, 0.2464599609375, 1.0, 0.258544921875]","[9, 11, 8, 10, 9, 11, 8, 10, 9, 11, 8, 10, 9, 11, 8, 10, 9, 11, 8, 10]"
HSGS,original,0.3,False,0.1,0.4384092314408935,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6]"
HSGS,original,0.3,True,0.1,0.4384092314408935,"[1.0, 0.25146484375, 0.0, 0.2557373046875, 1.0, 0.240966796875, 0.0, 0.25048828125, 1.0, 0.2509765625, 0.0, 0.2503662109375, 1.0, 0.257080078125, 0.0, 0.23681640625, 1.0, 0.255126953125, 0.0, 0.2447509765625]","[10, 12, 9, 11, 10, 12, 9, 11, 10, 12, 9, 11, 10, 12, 9, 11, 10, 12, 9, 11]"
HSGS,original,0.5,False,0.02,0.4384092314408935,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6]"
HSGS,original,0.5,True,0.02,0.4384092314408935,"[0.0, 0.2567138671875, 1.0, 0.242919921875, 0.0, 0.2611083984375, 1.0, 0.2412109375, 0.0, 0.251953125, 1.0, 0.2535400390625, 0.0, 0.2491455078125, 1.0, 0.2540283203125, 0.0, 0.2445068359375, 1.0, 0.2540283203125]","[9, 11, 8, 10, 9, 11, 8, 10, 9, 11, 8, 10, 9, 11, 8, 10, 9, 11, 8, 10]"
HSGS,original,0.5,False,0.1,0.4384092314408935,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6]"
HSGS,original,0.5,True,0.1,0.4384092314408935,"[1.0, 0.2493896484375, 0.0, 0.2437744140625, 1.0, 0.24560546875, 0.0, 0.2525634765625, 1.0, 0.2432861328125, 0.0, 0.249755859375, 1.0, 0.2528076171875, 0.0, 0.2484130859375, 1.0, 0.25244140625, 0.0, 0.24658203125]","[10, 12, 9, 11, 10, 12, 9, 11, 10, 12, 9, 11, 10, 12, 9, 11, 10, 12, 9, 11]"
HSGS,original,0.7,False,0.02,0.4384092314408935,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6]"
HSGS,original,0.7,True,0.02,0.4384092314408935,"[0.0, 0.2484130859375, 1.0, 0.254638671875, 0.0, 0.25341796875, 1.0, 0.2509765625, 0.0, 0.2530517578125, 1.0, 0.2373046875, 0.0, 0.2532958984375, 1.0, 0.250244140625, 0.0, 0.2452392578125, 1.0, 0.2542724609375]","[9, 11, 8, 10, 9, 11, 8, 10, 9, 11, 8, 10, 9, 11, 8, 10, 9, 11, 8, 10]"
HSGS,original,0.7,False,0.1,0.4384092314408935,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6]"
HSGS,original,0.7,True,0.1,0.4384092314408935,"[1.0, 0.2540283203125, 0.0, 0.2518310546875, 1.0, 0.2491455078125, 0.0, 0.2547607421875, 1.0, 0.2449951171875, 0.0, 0.247314453125, 1.0, 0.2493896484375, 0.0, 0.2532958984375, 1.0, 0.258544921875, 0.0, 0.2501220703125]","[10, 12, 9, 11, 10, 12, 9, 11, 10, 12, 9, 11, 10, 12, 9, 11, 10, 12, 9, 11]"
HSGS,original,0.8,False,0.02,0.4384092314408935,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6]"
HSGS,original,0.8,True,0.02,0.4384092314408935,"[0.0, 0.253662109375, 1.0, 0.24365234375, 0.0, 0.2529296875, 1.0, 0.2467041015625, 0.0, 0.239013671875, 1.0, 0.249267578125, 0.0, 0.2520751953125, 1.0, 0.251953125, 0.0, 0.2421875, 1.0, 0.248046875]","[9, 11, 8, 10, 9, 11, 8, 10, 9, 11, 8, 10, 9, 11, 8, 10, 9, 11, 8, 10]"
HSGS,original,0.8,False,0.1,0.4384092314408935,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6]"
HSGS,original,0.8,True,0.1,0.4384092314408935,"[1.0, 0.2564697265625, 0.0, 0.2523193359375, 1.0, 0.247314453125, 0.0, 0.2515869140625, 1.0, 0.2513427734375, 0.0, 0.254638671875, 1.0, 0.2591552734375, 0.0, 0.26171875, 1.0, 0.2528076171875, 0.0, 0.244873046875]","[10, 12, 9, 11, 10, 12, 9, 11, 10, 12, 9, 11, 10, 12, 9, 11, 10, 12, 9, 11]"
HSGS,original,0.9,False,0.02,0.4384092314408935,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6]"
HSGS,original,0.9,True,0.02,0.4384092314408935,"[0.0, 0.24951171875, 1.0, 0.2447509765625, 0.0, 0.249267578125, 1.0, 0.24951171875, 0.0, 0.2513427734375, 1.0, 0.255126953125, 0.0, 0.2510986328125, 1.0, 0.2471923828125, 0.0, 0.2479248046875, 1.0, 0.25146484375]","[9, 11, 8, 10, 9, 11, 8, 10, 9, 11, 8, 10, 9, 11, 8, 10, 9, 11, 8, 10]"
HSGS,original,0.9,False,0.1,0.4384092314408935,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6]"
HSGS,original,0.9,True,0.1,0.4384092314408935,"[1.0, 0.24951171875, 0.0, 0.2542724609375, 1.0, 0.2528076171875, 0.0, 0.256103515625, 1.0, 0.2506103515625, 0.0, 0.25146484375, 1.0, 0.2572021484375, 0.0, 0.2547607421875, 1.0, 0.241943359375, 0.0, 0.25244140625]","[10, 12, 9, 11, 10, 12, 9, 11, 10, 12, 9, 11, 10, 12, 9, 11, 10, 12, 9, 11]"
HSGS,original,0.3,False,0.02,0.7234651778309412,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6]"
HSGS,original,0.3,True,0.02,0.7234651778309412,"[0.0, 0.248291015625, 1.0, 0.253173828125, 0.0, 0.2481689453125, 1.0, 0.2489013671875, 0.0, 0.2557373046875, 1.0, 0.246826171875, 0.0, 0.249755859375, 1.0, 0.24951171875, 0.0, 0.2464599609375, 1.0, 0.2476806640625]","[9, 11, 8, 10, 9, 11, 8, 10, 9, 11, 8, 10, 9, 11, 8, 10, 9, 11, 8, 10]"
HSGS,original,0.3,False,0.1,0.7234651778309412,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6]"
HSGS,original,0.3,True,0.1,0.7234651778309412,"[1.0, 0.242919921875, 0.0, 0.2493896484375, 1.0, 0.251708984375, 0.0, 0.248779296875, 1.0, 0.256103515625, 0.0, 0.25146484375, 1.0, 0.2550048828125, 0.0, 0.2523193359375, 1.0, 0.24365234375, 0.0, 0.248046875]","[10, 12, 9, 11, 10, 12, 9, 11, 10, 12, 9, 11, 10, 12, 9, 11, 10, 12, 9, 11]"
HSGS,original,0.5,False,0.02,0.7234651778309412,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6]"
HSGS,original,0.5,True,0.02,0.7234651778309412,"[0.0, 0.2470703125, 1.0, 0.2430419921875, 0.0, 0.258056640625, 1.0, 0.248779296875, 0.0, 0.2548828125, 1.0, 0.25244140625, 0.0, 0.244140625, 1.0, 0.255615234375, 0.0, 0.248046875, 1.0, 0.254638671875]","[9, 11, 8, 10, 9, 11, 8, 10, 9, 11, 8, 10, 9, 11, 8, 10, 9, 11, 8, 10]"
HSGS,original,0.5,False,0.1,0.7234651778309412,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6]"
HSGS,original,0.5,True,0.1,0.7234651778309412,"[1.0, 0.24755859375, 0.0, 0.2552490234375, 1.0, 0.251708984375, 0.0, 0.25, 1.0, 0.2442626953125, 0.0, 0.2464599609375, 1.0, 0.2491455078125, 0.0, 0.24609375, 1.0, 0.2591552734375, 0.0, 0.25390625]","[10, 12, 9, 11, 10, 12, 9, 11, 10, 12, 9, 11, 10, 12, 9, 11, 10, 12, 9, 11]"
HSGS,original,0.7,False,0.02,0.7234651778309412,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6]"
HSGS,original,0.7,True,0.02,0.7234651778309412,"[0.0, 0.2484130859375, 1.0, 0.2489013671875, 0.0, 0.2513427734375, 1.0, 0.2513427734375, 0.0, 0.2479248046875, 1.0, 0.24560546875, 0.0, 0.249267578125, 1.0, 0.24951171875, 0.0, 0.2447509765625, 1.0, 0.2486572265625]","[9, 11, 8, 10, 9, 11, 8, 10, 9, 11, 8, 10, 9, 11, 8, 10, 9, 11, 8, 10]"
HSGS,original,0.7,False,0.1,0.7234651778309412,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6]"
HSGS,original,0.7,True,0.1,0.7234651778309412,"[1.0, 0.2445068359375, 0.0, 0.2540283203125, 1.0, 0.247802734375, 0.0, 0.2586669921875, 1.0, 0.2510986328125, 0.0, 0.240966796875, 1.0, 0.2432861328125, 0.0, 0.2496337890625, 1.0, 0.253662109375, 0.0, 0.25244140625]","[10, 12, 9, 11, 10, 12, 9, 11, 10, 12, 9, 11, 10, 12, 9, 11, 10, 12, 9, 11]"
HSGS,original,0.8,False,0.02,0.7234651778309412,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6]"
HSGS,original,0.8,True,0.02,0.7234651778309412,"[0.0, 0.2503662109375, 1.0, 0.2470703125, 0.0, 0.2493896484375, 1.0, 0.2529296875, 0.0, 0.2574462890625, 1.0, 0.2515869140625, 0.0, 0.2425537109375, 1.0, 0.2518310546875, 0.0, 0.2498779296875, 1.0, 0.26513671875]","[9, 11, 8, 10, 9, 11, 8, 10, 9, 11, 8, 10, 9, 11, 8, 10, 9, 11, 8, 10]"
HSGS,original,0.8,False,0.1,0.7234651778309412,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6]"
HSGS,original,0.8,True,0.1,0.7234651778309412,"[1.0, 0.2528076171875, 0.0, 0.2496337890625, 1.0, 0.2581787109375, 0.0, 0.247802734375, 1.0, 0.25390625, 0.0, 0.249267578125, 1.0, 0.244140625, 0.0, 0.25048828125, 1.0, 0.247314453125, 0.0, 0.2471923828125]","[10, 12, 9, 11, 10, 12, 9, 11, 10, 12, 9, 11, 10, 12, 9, 11, 10, 12, 9, 11]"
HSGS,original,0.9,False,0.02,0.7234651778309412,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6]"
HSGS,original,0.9,True,0.02,0.7234651778309412,"[0.0, 0.246826171875, 1.0, 0.2532958984375, 0.0, 0.244384765625, 1.0, 0.25048828125, 0.0, 0.256591796875, 1.0, 0.2506103515625, 0.0, 0.2503662109375, 1.0, 0.2486572265625, 0.0, 0.2528076171875, 1.0, 0.2529296875]","[9, 11, 8, 10, 9, 11, 8, 10, 9, 11, 8, 10, 9, 11, 8, 10, 9, 11, 8, 10]"
HSGS,original,0.9,False,0.1,0.7234651778309412,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6]"
HSGS,original,0.9,True,0.1,0.7234651778309412,"[1.0, 0.248291015625, 0.0, 0.2520751953125, 1.0, 0.25, 0.0, 0.253173828125, 1.0, 0.255615234375, 0.0, 0.2559814453125, 1.0, 0.2545166015625, 0.0, 0.2509765625, 1.0, 0.2535400390625, 0.0, 0.247802734375]","[10, 12, 9, 11, 10, 12, 9, 11, 10, 12, 9, 11, 10, 12, 9, 11, 10, 12, 9, 11]"
